OG	tree	original_polytomies	resolved_polytomies	inconsistent_triples	prunned_leaves
OG17705	(Solyc03g117230.1.1[&&NHX:species=Tomato],Capana03g000508[&&NHX:species=Dom. pepper],Capang03g000468[&&NHX:species=Wild pepper],Sopen03g036130.1[&&NHX:species=S. Pennelli],PGSC0003DMP400017940[&&NHX:species=Potato],SPI03g04975.1[&&NHX:species=S. pimp],SLYcer03g04920.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG17851	(SLYcer07g05429.1[&&NHX:species=Tomato Cherry],SPI07g06147.1[&&NHX:species=S. pimp],PGSC0003DMP400033480[&&NHX:species=Potato],Capana07g002282[&&NHX:species=Dom. pepper],Sopen07g032090.1[&&NHX:species=S. Pennelli],Capang03g003100[&&NHX:species=Wild pepper],Solyc07g063950.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG17913	(Capang01g000986[&&NHX:species=Wild pepper],SLYcer08g05708.1[&&NHX:species=Tomato Cherry],Solyc08g074980.4.1[&&NHX:species=Tomato],Capana00g003470[&&NHX:species=Dom. pepper],PGSC0003DMP400027547[&&NHX:species=Potato],Sopen08g023570.1[&&NHX:species=S. Pennelli],SPI08g05586.1[&&NHX:species=S. pimp])S;	0	0	0	
OG18004	(Sopen01g032340.1[&&NHX:species=S. Pennelli],Capang01g003952[&&NHX:species=Wild pepper],Capana00g001715[&&NHX:species=Dom. pepper],SLYcer01g06186.1[&&NHX:species=Tomato Cherry],Solyc01g080520.3.1[&&NHX:species=Tomato],PGSC0003DMP400055205[&&NHX:species=Potato],SPI01g06487.1[&&NHX:species=S. pimp])S;	0	0	0	
OG18056	(Capana03g000380[&&NHX:species=Dom. pepper],SPI03g05223.1[&&NHX:species=S. pimp],Capang03g000617[&&NHX:species=Wild pepper],SLYcer03g05163.1[&&NHX:species=Tomato Cherry],Sopen03g038410.1[&&NHX:species=S. Pennelli],PGSC0003DMP400009914[&&NHX:species=Potato],Solyc03g119580.1.1[&&NHX:species=Tomato])S;	0	0	0	
OG18063	(Capana12g000852[&&NHX:species=Dom. pepper],SLYcer12g04627.1[&&NHX:species=Tomato Cherry],SPI12g04580.1[&&NHX:species=S. pimp],Sopen12g030070.1[&&NHX:species=S. Pennelli],Capang12g000730[&&NHX:species=Wild pepper],Solyc12g088040.2.1[&&NHX:species=Tomato],PGSC0003DMP400003650[&&NHX:species=Potato])S;	0	0	0	
OG18107	(Solyc05g051180.3.1[&&NHX:species=Tomato],SLYcer10g02598.1[&&NHX:species=Tomato Cherry],Sopen05g029560.1[&&NHX:species=S. Pennelli],Capana05g001700[&&NHX:species=Dom. pepper],PGSC0003DMP400025741[&&NHX:species=Potato],Capang05g001380[&&NHX:species=Wild pepper],SPI05g04364.1[&&NHX:species=S. pimp])S;	0	0	0	
OG18146	(SLYcer06g03977.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400046203[&&NHX:species=Potato],Capang06g001482[&&NHX:species=Wild pepper],SPI06g03850.1[&&NHX:species=S. pimp],Capana06g001571[&&NHX:species=Dom. pepper],Sopen06g021230.1[&&NHX:species=S. Pennelli],Solyc06g061030.3.1[&&NHX:species=Tomato])S;	0	0	0	
OG18159	(PGSC0003DMP400021774[&&NHX:species=Potato],Capang04g001516[&&NHX:species=Wild pepper],SLYcer08g06408.1[&&NHX:species=Tomato Cherry],Sopen08g030250.1[&&NHX:species=S. Pennelli],SPI08g06321.1[&&NHX:species=S. pimp],Solyc08g081960.3.1[&&NHX:species=Tomato],Capana00g003434[&&NHX:species=Dom. pepper])S;	0	0	0	
OG18180	(SPI02g02378.1[&&NHX:species=S. pimp],Capang02g000794[&&NHX:species=Wild pepper],Sopen02g016210.1[&&NHX:species=S. Pennelli],Solyc02g067020.1.1[&&NHX:species=Tomato],Capana02g000881[&&NHX:species=Dom. pepper],PGSC0003DMP400043655[&&NHX:species=Potato],SLYcer02g03485.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG18231	(SPI03g05249.1[&&NHX:species=S. pimp],PGSC0003DMP400009887[&&NHX:species=Potato],SLYcer03g05189.1[&&NHX:species=Tomato Cherry],Solyc03g119800.3.1[&&NHX:species=Tomato],Capang05g000739[&&NHX:species=Wild pepper],Sopen03g038650.1[&&NHX:species=S. Pennelli],Capana03g000671[&&NHX:species=Dom. pepper])S;	0	0	0	
OG18299	(Solyc09g091400.4.1[&&NHX:species=Tomato],SPI09g04750.1[&&NHX:species=S. pimp],PGSC0003DMP400051647[&&NHX:species=Potato],Capana03g003983[&&NHX:species=Dom. pepper],Sopen09g034340.1[&&NHX:species=S. Pennelli],Capang03g003849[&&NHX:species=Wild pepper],SLYcer09g05071.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG18302	(SPI02g04519.1[&&NHX:species=S. pimp],Sopen02g036630.1[&&NHX:species=S. Pennelli],Capana02g002936[&&NHX:species=Dom. pepper],SLYcer02g05602.1[&&NHX:species=Tomato Cherry],Solyc02g092050.3.1[&&NHX:species=Tomato],Capang02g002660[&&NHX:species=Wild pepper],PGSC0003DMP400037142[&&NHX:species=Potato])S;	0	0	0	
OG18385	(Capana04g002109[&&NHX:species=Dom. pepper],Capang10g000785[&&NHX:species=Wild pepper],PGSC0003DMP400001723[&&NHX:species=Potato],SLYcer11g00848.1[&&NHX:species=Tomato Cherry],Sopen11g007720.1[&&NHX:species=S. Pennelli],Solyc11g012980.1.1[&&NHX:species=Tomato],SPI11g00994.1[&&NHX:species=S. pimp])S;	0	0	0	
OG18473	(Capang01g004394[&&NHX:species=Wild pepper],Sopen01g045880.1[&&NHX:species=S. Pennelli],Solyc01g103530.3.1[&&NHX:species=Tomato],SPI01g07961.1[&&NHX:species=S. pimp],Capana08g001827[&&NHX:species=Dom. pepper],SLYcer01g07302.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400043150[&&NHX:species=Potato])S;	0	0	0	
OG18502	(Capang06g001891[&&NHX:species=Wild pepper],Capana08g001762[&&NHX:species=Dom. pepper],SPI01g07908.1[&&NHX:species=S. pimp],PGSC0003DMP400036037[&&NHX:species=Potato],Solyc01g102940.3.1[&&NHX:species=Tomato],Sopen01g045350.1[&&NHX:species=S. Pennelli],SLYcer01g07359.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG18508	(PGSC0003DMP400047816[&&NHX:species=Potato],Sopen01g040570.1[&&NHX:species=S. Pennelli],SLYcer01g07866.1[&&NHX:species=Tomato Cherry],SPI01g07407.1[&&NHX:species=S. pimp],Solyc01g096860.3.1[&&NHX:species=Tomato],Capana08g001182[&&NHX:species=Dom. pepper],Capang01g003756[&&NHX:species=Wild pepper])S;	0	0	0	
OG18510	(PGSC0003DMP400047805[&&NHX:species=Potato],Solyc01g096940.4.1[&&NHX:species=Tomato],Sopen01g040650.1[&&NHX:species=S. Pennelli],SPI01g07415.1[&&NHX:species=S. pimp],Capana08g001195[&&NHX:species=Dom. pepper],Capang01g003765[&&NHX:species=Wild pepper],SLYcer01g07858.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG18634	(Sopen06g022370.1[&&NHX:species=S. Pennelli],PGSC0003DMP400008626[&&NHX:species=Potato],Capang06g001138[&&NHX:species=Wild pepper],SLYcer06g04076.1[&&NHX:species=Tomato Cherry],Capana06g001182[&&NHX:species=Dom. pepper],Solyc06g062920.3.1[&&NHX:species=Tomato],SPI06g03942.1[&&NHX:species=S. pimp])S;	0	0	0	
OG18653	(SPI07g05673.1[&&NHX:species=S. pimp],Capana00g004561[&&NHX:species=Dom. pepper],Capang03g002099[&&NHX:species=Wild pepper],Solyc07g054220.1.1[&&NHX:species=Tomato],Sopen07g028150.1[&&NHX:species=S. Pennelli],SLYcer07g04946.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400031984[&&NHX:species=Potato])S;	0	0	0	
OG18654	(SLYcer06g04464.1[&&NHX:species=Tomato Cherry],Solyc06g068360.3.1[&&NHX:species=Tomato],SPI06g04322.1[&&NHX:species=S. pimp],Capana06g001119[&&NHX:species=Dom. pepper],Capang06g001067[&&NHX:species=Wild pepper],Sopen06g025620.1[&&NHX:species=S. Pennelli],PGSC0003DMP400049609[&&NHX:species=Potato])S;	0	0	0	
OG18698	(PGSC0003DMP400051432[&&NHX:species=Potato],SPI08g05216.1[&&NHX:species=S. pimp],Sopen08g022620.1[&&NHX:species=S. Pennelli],SLYcer08g05327.1[&&NHX:species=Tomato Cherry],Capana00g003024[&&NHX:species=Dom. pepper],Solyc08g068960.3.1[&&NHX:species=Tomato],Capang07g001265[&&NHX:species=Wild pepper])S;	0	0	0	
OG18794	(Solyc09g098420.3.1[&&NHX:species=Tomato],Sopen09g036350.1[&&NHX:species=S. Pennelli],Capang03g004036[&&NHX:species=Wild pepper],SLYcer09g05288.1[&&NHX:species=Tomato Cherry],SPI09g04979.1[&&NHX:species=S. pimp],Capana03g004207[&&NHX:species=Dom. pepper],PGSC0003DMP400037492[&&NHX:species=Potato])S;	0	0	0	
OG18944	(Capang06g002111[&&NHX:species=Wild pepper],Capana06g002255[&&NHX:species=Dom. pepper],SLYcer06g03436.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400052319[&&NHX:species=Potato],SPI06g03354.1[&&NHX:species=S. pimp],Sopen06g016850.1[&&NHX:species=S. Pennelli],Solyc06g051030.3.1[&&NHX:species=Tomato])S;	0	0	0	
